Country,Year,Value
Madagascar,2005,1686
Madagascar,2010,2546
Madagascar,2015,2961
Madagascar,2021,4408
Madagascar,2022,5613
Madagascar,2023,4817
Malawi,1995,500
Malawi,2005,1165
Malawi,2010,2173
Malawi,2015,2270
Malawi,2021,3073
Malawi,2022,1586
Malawi,2023,3141
Malaysia,1995,77046
Malaysia,2005,114290
Malaysia,2010,164586
Malaysia,2015,176175
Malaysia,2021,238250
Malaysia,2022,293941
Malaysia,2023,265638
Maldives,1995,268
Maldives,2005,745
Maldives,2010,1095
Maldives,2015,1897
Maldives,2021,2574
Maldives,2022,3523
Maldives,2023,3489
Mali,1995,774
Mali,2005,1544
Mali,2010,4704
Mali,2015,3394
Mali,2021,7604
Mali,2022,7333
Mali,2023,8655
Malta,1995,2942
Malta,2005,3865
Malta,2010,5732
Malta,2015,6788
Malta,2021,7141
Malta,2022,8563
Malta,2023,8391
Marshall Islands,1995,75
Marshall Islands,2005,68
Marshall Islands,2010,76
Marshall Islands,2015,1734
Marshall Islands,2021,14805
Marshall Islands,2022,17205
Marshall Islands,2023,19130
Martinique,1995,1970
Mauritania,1995,326
Mauritania,2005,1342
Mauritania,2010,1708
Mauritania,2015,3703
Mauritania,2021,3860
Mauritania,2022,5120
Mauritania,2023,5345
Mauritius,1995,2000
Mauritius,2005,3160
Mauritius,2010,4402
Mauritius,2015,4458
Mauritius,2021,5147
Mauritius,2022,6617
Mauritius,2023,6282
Mayotte,2005,309
Mexico,1995,72453
Mexico,2005,221819
Mexico,2010,301482
Mexico,2015,395254
Mexico,2021,505716
Mexico,2022,604615
Mexico,2023,598475
Micronesia (Fed. States of),1995,100
Micronesia (Fed. States of),2005,128
Micronesia (Fed. States of),2010,168
Micronesia (Fed. States of),2015,180
Micronesia (Fed. States of),2021,582
Micronesia (Fed. States of),2022,658
Micronesia (Fed. States of),2023,747
Mongolia,1995,415
Mongolia,2005,1183
Mongolia,2010,3200
Mongolia,2015,3797
Mongolia,2021,6844
Mongolia,2022,8747
Mongolia,2023,12563
Montenegro,2010,2182
Montenegro,2015,2050
Montenegro,2021,2946
Montenegro,2022,3722
Montenegro,2023,4103
Montserrat,1995,51
Montserrat,2005,30
Montserrat,2010,29
Montserrat,2015,30
Montserrat,2021,33
Montserrat,2022,39
Montserrat,2023,48
Morocco,1995,8540
Morocco,2005,20803
Morocco,2010,35379
Morocco,2015,38130
Morocco,2021,58678
Morocco,2022,72578
Morocco,2023,71526
Mozambique,1995,727
Mozambique,2005,2408
Mozambique,2010,3564
Mozambique,2015,7908
Mozambique,2021,8758
Mozambique,2022,14671
Mozambique,2023,10092
Myanmar,1995,1346
Myanmar,2005,1907
Myanmar,2010,4866
Myanmar,2015,16913
Myanmar,2021,14327
Myanmar,2022,17403
Myanmar,2023,16440
Namibia,2005,2525
