Country,Year,Value
Honduras,2023,3231.657268
Honduras,2022,3003.290001
Honduras,2021,2735.147478
Honduras,2020,2307.614989
Honduras,2019,2502.327452
Honduras,2018,2464.642814
Hungary,2023,21954.00803
Hungary,2022,18336.90104
Hungary,2021,18878.66063
Hungary,2020,16254.08346
Hungary,2019,16881.35528
Hungary,2018,16490.50478
Iceland,2023,80826.9125
Iceland,2022,75640.20714
Iceland,2021,69302.83913
Iceland,2020,58999.25588
Iceland,2019,68426.2369
Iceland,2018,74424.12608
India,2023,2486.512422
India,2022,2405.259166
India,2021,2257.365145
India,2020,1910.271668
India,2019,2055.246116
India,2018,2010.342092
Indonesia,2023,4876.314327
Indonesia,2022,4730.745489
Indonesia,2021,4287.17314
Indonesia,2020,3853.702888
Indonesia,2019,4106.948562
Indonesia,2018,3860.953531
"Iran, Islamic Republic of",2023,4432.204125
"Iran, Islamic Republic of",2022,4446.257251
"Iran, Islamic Republic of",2021,4047.638568
"Iran, Islamic Republic of",2020,3727.269464
"Iran, Islamic Republic of",2019,3587.310421
"Iran, Islamic Republic of",2018,3680.334778
Iraq,2023,5149.465181
Iraq,2022,5994.5285
Iraq,2021,4822.051536
Iraq,2020,4295.79001
Iraq,2019,5671.856863
Iraq,2018,5646.689321
Ireland,2023,106106.2437
Ireland,2022,107351.9633
Ireland,2021,105660.6017
Ireland,2020,87615.90188
Ireland,2019,82522.6648
Ireland,2018,81160.93821
Israel,2023,55487.64884
Israel,2022,57968.29261
Israel,2021,55082.20324
Israel,2020,46952.10668
Israel,2019,46311.49826
Israel,2018,44219.29523
Italy,2023,38671.6354
Italy,2022,35273.85374
Italy,2021,36484.70599
Italy,2020,31837.63872
Italy,2019,33587.26474
Italy,2018,34829.50191
Jamaica,2023,6839.72545
Jamaica,2022,6022.153506
Jamaica,2021,5165.336936
Jamaica,2020,4879.441362
Jamaica,2019,5607.241725
Jamaica,2018,5578.103237
Japan,2023,33806.08497
Japan,2022,34051.94588
Japan,2021,40059.25608
Japan,2020,40026.96161
Japan,2019,40394.76812
Japan,2018,39719.04991
Jordan,2023,4442.057539
Jordan,2022,4322.338753
Jordan,2021,4183.499944
Jordan,2020,4022.040105
Jordan,2019,4170.109847
Jordan,2018,4145.438402
Kazakhstan,2023,13000.06814
Kazakhstan,2022,11255.33964
Kazakhstan,2021,9983.601048
Kazakhstan,2020,8781.508195
Kazakhstan,2019,9457.126156
Kazakhstan,2018,9472.485264
Kenya,2023,1952.304567
Kenya,2022,2109.562807
Kenya,2021,2061.356146
Kenya,2020,1927.664588
Kenya,2019,1960.408081
Kenya,2018,1836.452754
Kingdom of Eswatini,2023,3716.788827
Kingdom of Eswatini,2022,3701.559466
Kingdom of Eswatini,2021,3801.417975
Kingdom of Eswatini,2020,3338.760873
Kingdom of Eswatini,2019,3809.955563
Kingdom of Eswatini,2018,3994.061969
Kiribati,2023,2177.701048
Kiribati,2022,2069.76654
Kiribati,2021,2222.047861
Kiribati,2020,1751.782174
Kiribati,2019,1750.998066
Kiribati,2018,1912.737774
Kosovo,2023,6156.801752
Kosovo,2022,5452.810656
Kosovo,2021,5404.761748
Kosovo,2020,4416.13637
Kosovo,2019,4500.863621
Kosovo,2018,4456.967391
Kuwait,2023,33831.79728
Kuwait,2022,40078.37051
Kuwait,2021,34044.48989
Kuwait,2020,25236.77096
Kuwait,2019,31708.72754
Kuwait,2018,32068.85937
Kyrgyzstan,2023,1977.464669
Kyrgyzstan,2022,1744.580415
Kyrgyzstan,2021,1356.082754
Kyrgyzstan,2020,1241.040651
Kyrgyzstan,2019,1443.058936
Kyrgyzstan,2018,1362.748859
Lao People's Democratic Republic,2023,1957.999005
Lao People's Democratic Republic,2022,2032.279853
Lao People's Democratic Republic,2021,2559.220905
Lao People's Democratic Republic,2020,2602.045315
Lao People's Democratic Republic,2019,2589.327479
Lao People's Democratic Republic,2018,2545.110818
Latvia,2023,22443.65695
Latvia,2022,20211.39419
Latvia,2021,20251.05483
Latvia,2020,17558.00516
Latvia,2019,17290.99082
Latvia,2018,17248.46569
Lebanon,2023,4756.825947
Lebanon,2022,4647.325892
Lebanon,2021,4314.898279
Lebanon,2020,4056.080787
Lebanon,2019,9189.492143
Lebanon,2018,9174.151695
Lesotho,2023,916.2829697
Lesotho,2022,1030.125796
Lesotho,2021,1066.586436
Lesotho,2020,918.5825551
Lesotho,2019,1082.057064
Lesotho,2018,1170.655632
Liberia,2023,917.387323
Liberia,2022,848.9646373
Liberia,2021,784.2822361
Liberia,2020,672.1017768
Liberia,2019,626.9669712
Liberia,2018,655.5055639
Libya,2023,6026.824081
Libya,2022,5986.624584
Libya,2021,4935.817679
Libya,2020,6650.358678
Libya,2019,9963.144178
Libya,2018,11196.58822
Liechtenstein,2023,201150.4644
Liechtenstein,2022,187658.0795
Liechtenstein,2021,202658.636
Liechtenstein,2020,165218.6414
Liechtenstein,2019,167453.0027
Liechtenstein,2018,175524.1779
Lithuania,2023,27956.24028
Lithuania,2022,25216.87152
Lithuania,2021,23989.12467
Lithuania,2020,20535.35921
Lithuania,2019,19721.26025
Lithuania,2018,19362.07711
Luxembourg,2023,128935.8953
Luxembourg,2022,124965.8401
Luxembourg,2021,133667.939
Luxembourg,2020,116872.3713
Luxembourg,2019,112696.9931
Luxembourg,2018,116757.5119
Madagascar,2023,508.7184277
Madagascar,2022,503.5145335
Madagascar,2021,483.4694633
Madagascar,2020,450.7716152
Madagascar,2019,499.8188376
Madagascar,2018,500.4571855
Malawi,2023,598.2935455
Malawi,2022,607.0347524
Malawi,2021,617.4469943
Malawi,2020,602.5074783
Malawi,2019,580.8891399
Malawi,2018,533.2025669
Malaysia,2023,11377.47708
Malaysia,2022,11731.41565
Malaysia,2021,10904.49319
Malaysia,2020,9957.527014
Malaysia,2019,10920.19424
Malaysia,2018,10901.80437
Maldives,2023,12530.35994
Maldives,2022,11786.00916
Maldives,2021,10176.14361
Maldives,2020,7393.888875
Maldives,2019,11740.27246
Maldives,2018,11423.28364
Mali,2023,869.270234
Mali,2022,813.9650342
Mali,2021,862.4674
Mali,2020,804.3439574
Mali,2019,820.1973906
Mali,2018,835.08671
Malta,2023,41676.30423
Malta,2022,36417.05485
Malta,2021,37600.18725
Malta,2020,31673.14194
Malta,2019,32415.37433
Malta,2018,33337.19463
Marshall Islands,2023,6951.994746
Marshall Islands,2022,6581.766874
Marshall Islands,2021,6274.050958
Marshall Islands,2020,5660.149651
Marshall Islands,2019,5273.985275
Marshall Islands,2018,4843.332384
Mauritania,2023,2120.825386
Mauritania,2022,1960.352401
Mauritania,2021,1947.789166
Mauritania,2020,1795.764612
Mauritania,2019,1767.072695
Mauritania,2018,1722.935289
Mauritius,2023,11304.38359
Mauritius,2022,10130.61309
Mauritius,2021,8974.79083
Mauritius,2020,8890.197845
Mauritius,2019,11223.41897
